Date,Event,,,,,
07-03-2008,Tripura,,,,,
14-10-2008,Madhya Pradesh,,,,,
30-11-2008,Jammu and Kashmir,,,,,
02-12-2008,Mizoram,,,,,
08-12-2008,Chhattisgarh,Rajasthan,,,,
05-05-2009,Sikkim,,,,,
16-05-2009,Andhra Pradesh,,,,,
19-10-2009,Maharashtra,,,,,
22-10-2009,Arunachal Pradesh,Haryana,,,,
25-11-2009,Jharkhand,,,,,
20-04-2010,RBI,,,,,
27-07-2010,RBI,,,,,
16-09-2010,RBI,,,,,
02-11-2010,RBI,,,,,
05-11-2010,Diwali,,,,,
08-11-2010,Diwali,,,,,
25-01-2011,RBI,,,,,
28-02-2011,Budget,,,,,
17-03-2011,RBI,,,,,
13-04-2011,Puducherry *,,,,,
03-05-2011,RBI,,,,,
13-05-2011,Assam,Kerala,Tamil Nadu,,,
16-06-2011,RBI,,,,,
26-07-2011,RBI,,,,,
16-09-2011,RBI,,,,,
25-10-2011,RBI,,,,,
26-10-2011,Diwali,,,,,
28-10-2011,Diwali,,,,,
16-12-2011,RBI,,,,,
24-01-2012,RBI,,,,,
06-03-2012,Goa,Manipur,Punjab,,,
09-03-2012,Uttarakhand,West Bengal,,,,
15-03-2012,RBI,,,,,
16-03-2012,Budget,,,,,
17-04-2012,RBI,,,,,
18-06-2012,RBI,,,,,
31-07-2012,RBI,,,,,
17-09-2012,RBI,,,,,
30-10-2012,RBI,,,,,
13-11-2012,Diwali,,,,,
15-11-2012,Diwali,,,,,
18-12-2012,RBI,,,,,
20-12-2012,Gujarat,Himachal Pradesh,,,,
29-01-2013,RBI,,,,,
28-02-2013,Budget,Uttar Pradesh,,,,
19-03-2013,RBI,,,,,
03-05-2013,RBI,,,,,
11-05-2013,Karnataka,,,,,
17-06-2013,RBI,,,,,
30-07-2013,RBI,,,,,
20-09-2013,RBI,,,,,
29-10-2013,RBI,,,,,
03-11-2013,Diwali,,,,,
05-11-2013,Diwali,,,,,
08-12-2013,Chhattisgarh,Madhya Pradesh,Rajasthan,Meghalaya,Nagaland,
09-12-2013,Mizoram,,,,,
18-12-2013,RBI,,,,,
28-01-2014,RBI,,,,,
01-04-2014,RBI,,,,,
17-04-2014,Odisha,,,,,
16-05-2014,Election,Andhra Pradesh,Arunachal Pradesh,Odisha,Sikkim,Telangana
03-06-2014,RBI,,,,,
05-08-2014,RBI,,,,,
30-09-2014,RBI,,,,,
07-10-2014,Budget,,,,,
19-10-2014,Haryana,Maharashtra,,,,
23-10-2014,Diwali,,,,,
27-10-2014,Diwali,,,,,
02-12-2014,RBI,,,,,
23-12-2014,Jammu and Kashmir,Jharkhand,,,,
03-02-2015,RBI,,,,,
10-02-2015,Delhi *,,,,,
28-02-2015,Budget,,,,,
07-04-2015,RBI,,,,,
02-06-2015,RBI,,,,,
04-08-2015,RBI,,,,,
29-09-2015,RBI,,,,,
08-11-2015,Bihar,,,,,
11-11-2015,Diwali,,,,,
13-11-2015,Diwali,,,,,
01-12-2015,RBI,,,,,
02-02-2016,RBI,,,,,
29-02-2016,Budget,,,,,
05-04-2016,RBI,,,,,
19-05-2016,Assam,Kerala,Puducherry *,Tamil Nadu,West Bengal,
07-06-2016,RBI,,,,,
24-06-2016,BREXIT,,,,,
21-07-2016,HDFC Event,,,,,
09-08-2016,RBI,,,,,
04-10-2016,RBI,,,,,
25-10-2016,HDFC Event,,,,,
30-10-2016,Diwali,,,,,
01-11-2016,Diwali,,,,,
09-11-2016,US Election,,,,,
07-12-2016,RBI,,,,,
24-01-2017,HDFC Event,,,,,
01-02-2017,Budget,,,,,
08-02-2017,RBI,,,,,
11-03-2017,Goa,Manipur,Punjab,Uttar Pradesh,Uttarakhand,
06-04-2017,RBI,,,,,
21-04-2017,HDFC Event,,,,,
07-06-2017,RBI,,,,,
24-07-2017,HDFC Event,,,,,
02-08-2017,RBI,,,,,
04-10-2017,RBI,,,,,
19-10-2017,Diwali,,,,,
23-10-2017,Diwali,,,,,
24-10-2017,HDFC Event,,,,,
06-12-2017,RBI,,,,,
18-12-2017,Gujarat,Himachal Pradesh,,,,
19-01-2018,HDFC Event,,,,,
01-02-2018,Budget,,,,,
07-02-2018,RBI,,,,,
03-03-2018,Meghalaya,Nagaland,Tripura,,,
05-04-2018,RBI,,,,,
21-04-2018,HDFC Event,,,,,
12-05-2018,Karnataka,,,,,
06-06-2018,RBI,,,,,
21-07-2018,HDFC Event,,,,,
01-08-2018,RBI,,,,,
05-10-2018,RBI,,,,,
20-10-2018,HDFC Event,,,,,
07-11-2018,Diwali,,,,,
05-12-2018,RBI,,,,,
11-12-2018,Rajasthan,,,,,
19-01-2019,HDFC Event,,,,,
01-02-2019,Budget,,,,,
07-02-2019,RBI,,,,,
28-02-2019,0,,,,,
01-03-2019,0,,,,,
04-04-2019,RBI,,,,,
20-04-2019,HDFC Event,,,,,
06-06-2019,RBI,,,,,
05-07-2019,Budget,,,,,
20-07-2019,HDFC Event,,,,,
07-08-2019,RBI,,,,,
04-10-2019,RBI,,,,,
19-10-2019,HDFC Event,,,,,
24-10-2019,Maharashtra,,,,,
05-12-2019,RBI,,,,,
23-12-2019,JHARKHAND,,,,,
06-02-2020,RBI,,,,,
18-01-2020,HDFC Event,,,,,
11-02-2020,Delhi Election,,,,,
24-03-2020,FM Annoucement,,,,,
25-03-2020,FM Annoucement,,,,,
26-03-2020,RBI Announcement ,,,,,
27-03-2020,RBI Announcement ,,,,,
15-04-2020,PM Anouncement,,,,,
17-04-2020,RBI Announcement ,,,,,
18-04-2020,HDFC Event,,,,,
18-07-2020,HDFC Event,,,,,
06-08-2020,RBI,,,,,
09-10-2020,RBI,,,,,
17-10-2020,HDFC Event,,,,,
04-11-2020,US Election,,,,,
04-12-2020,RBI,,,,,
16-01-2021,HDFC Event,,,,,
01-02-2021,Budget,,,,,
05-02-2021,RBI,,,,,
07-04-2021,RBI,,,,,
17-04-2021,HDFC Event,,,,,
03-05-2021,west bengal result,,,,,
05-05-2021,RBI,,,,,
04-06-2021,RBI,,,,,
17-07-2021,HDFC Event,,,,,
06-08-2021,RBI,,,,,
08-10-2021,RBI,,,,,
16-10-2021,HDFC Event,,,,,
04-11-2021,Diwali,,,,,
08-12-2021,RBI,,,,,
15-01-2022,HDFC Event,,,,,
31-01-2022,Budget,,,,,
01-02-2022,Budget,,,,,
10-02-2022,RBI,,,,,
09-03-2022,UP Election,,,,,
10-03-2022,UP Election,,,,,
08-04-2022,RBI,,,,,
16-04-2022,HDFC Event,,,,,
08-06-2022,RBI,,,,,
16-07-2022,HDFC Event,,,,,
05-08-2022,RBI,,,,,
30-09-2022,RBI,,,,,
15-10-2022,HDFC Event,,,,,
03-11-2022,RBI,,,,,
07-12-2022,RBI,,,,,
08-12-2022,Gujarat,,,,,
14-01-2023,HDFC Event,,,,,
01-02-2023,Budget,,,,,
08-02-2023,RBI,,,,,
06-04-2023,RBI,,,,,
15-04-2023,HDFC Event,,,,,
08-06-2023,RBI,,,,,
17-07-2023,HDFC Event,,,,,
10-08-2023,RBI,,,,,
06-10-2023,RBI,,,,,
16-10-2023,HDFC Event,,,,,
12-11-2023,Diwali,,,,,
01-12-2023,Rajasthan Election,,,,,
07-12-2023,Due to Riots,,,,,
08-12-2023,RBI,,,,,
16-01-2024,HDFC Event,,,,,
01-02-2024,Budget,,,,,
08-02-2024,RBI,,,,,
05-04-2024,RBI,,,,,
04-06-2024,Election,,,,,
07-06-2024,RBI,,,,,
23-07-2024,Budget,,,,,
08-08-2024,RBI,,,,,
08-10-2024,Haryana & JK Result,,,,,
09-10-2024,RBI,,,,,
06-11-2024,US Election,,,,,
20-11-2024,Special Holiday,,,,,
06-12-2024,RBI,,,,,
01-02-2025,Budget,,,,,
07-02-2025,RBI,,,,,
09-04-2025,RBI,,,,,
06-06-2025,RBI,,,,,
06-08-2025,RBI,,,,,
